logFC	logCPM	PValue	FDR
AAEL018806	4.75455247316561	5.03963479877414	4.56571895998779e-31	8.99994521392793e-27
AAEL018771	9.15387751269652	2.57063944890029	2.60503853391081e-26	2.56752597902249e-22
AAEL017301	3.12212749474232	1.87239609659752	9.22683076846521e-15	6.06264293693288e-11
AAEL011504	4.84315750155353	0.267896220843199	6.99948781638924e-10	3.44934759591662e-06
AAEL026446	3.66220366441441	2.15691901838804	3.02541459603743e-09	1.1927394503418e-05
AAEL009451	2.74676428048591	2.20864394361058	4.59319609296783e-09	1.50901802307636e-05
AAEL004631	1.72414334643085	3.67337128975845	6.21106378014068e-07	0.00174903556048762
AAEL018801	4.23729809956221	-0.0975185750211777	1.51709726741399e-05	0.0373812766690808
AAEL001673	1.75535845375235	3.58385874375125	2.38711000818254e-05	0.0522830138681048
AAEL005964	5.50538410948684	-0.471905720044841	0.000109149105970823	0.215154717689687
AAEL009616	1.623902195548	0.972659575200553	0.000225746706348013	0.404538097775639
AAEL009422	-0.507655825760839	4.21085758089359	0.000318075961363866	0.521377427057882
AAEL025682	0.986284279358575	1.96229286470637	0.000343846720360819	0.521377427057882
AAEL005656	1.80230504806455	0.893216411386806	0.000374927357139369	0.527897718852231
AAEL004172	2.09805656968664	0.233912056721442	0.000658313853704342	0.865112178947999
AAEL008404	2.40822837990655	0.0275873457156716	0.000704058622695388	0.867400223160718
AAEL020805	1.97810679280571	0.270707352972487	0.0007993995009538	0.926927233105959
AAEL022067	0.839842061049658	2.54650158254703	0.000890588033522796	0.975292850933408
AAEL026217	2.66695712918656	2.11072854991703	0.001024093050309	1
AAEL018212	-1.10869693387205	1.53870785677522	0.00115781186092274	1
AAEL021410	-0.864126578922593	2.15291279519399	0.00126967631358485	1
AAEL008754	-0.758784645540122	2.55444373842543	0.00127029664344256	1
AAEL009987	2.3004473269542	0.0215284749705857	0.00138448219697746	1
AAEL008837	0.351984043893702	5.52952316533798	0.00138567197238534	1
AAEL001914	0.593582745612671	3.19281904898242	0.00140743494168939	1
AAEL011442	0.327510695604184	5.45290402638852	0.00160312965604005	1
AAEL012184	-2.64356960151524	-0.227404905526318	0.00177756888004766	1
AAEL017320	1.75854571977406	0.29796937618416	0.00193624596125278	1
AAEL002056	0.483317316866292	3.75375746723681	0.00200186111241767	1
AAEL002068	-0.277814534408033	6.72631318768394	0.00209327998997002	1
AAEL001604	0.467626184547233	4.13923793165563	0.002260982233337	1
AAEL003141	0.485306195377627	3.80982706532119	0.002262897740071	1
AAEL005392	-1.03803280966912	1.59090380490904	0.00234305838152925	1
AAEL025750	-0.874248618619091	2.03589933446621	0.00237143480400122	1
AAEL011470	1.32088986740857	0.88527320381267	0.00241114462433591	1
AAEL022591	1.59647038272319	0.419358700679749	0.00244374145278712	1
AAEL008510	-0.938506471229586	2.27332702203147	0.00253903060036541	1
AAEL005076	-3.19572918965842	-0.41984900978115	0.00254446762883946	1
AAEL014151	2.44502674427273	-0.36438904815699	0.00265929398576507	1
AAEL026788	-0.710361698102614	2.59709349238487	0.00325781671795878	1
AAEL012860	0.504565452728021	3.77788685727134	0.00345032282768772	1
AAEL004928	1.05311094980325	1.45157474880479	0.00351041173936785	1
AAEL015567	-2.03739427608689	0.0197376266856145	0.00352422896144968	1
AAEL011167	-1.21095609045493	1.14626376718287	0.00353431430108295	1
AAEL023880	-0.471814252273686	4.75979862697261	0.00354660300958199	1
AAEL027113	1.91791371518643	0.132243279702532	0.00363896396950074	1
AAEL004616	1.22906196497191	1.73096933912782	0.00368899962290688	1
AAEL007572	1.48375104617113	0.63158836489436	0.00380055597538771	1
AAEL019894	4.0430322767177	-0.517467955642194	0.00380230564941308	1
AAEL018124	0.603377952154083	2.75635431751162	0.00394276694359943	1
AAEL021180	-1.0414421396642	1.89004321748348	0.00406783159834764	1
AAEL013732	0.479266712146596	3.63180673322805	0.0041782387928076	1
AAEL014267	0.717132386623066	2.31644197286669	0.00419702160760938	1
AAEL020042	-0.627214832543114	2.74100987896802	0.00421089911223767	1
AAEL010287	-0.913610777840739	1.62596264135755	0.00453333607186361	1
AAEL005262	0.236314399521466	6.66511537603118	0.00470613355193106	1
AAEL025756	-4.63641699801798	-0.76753894900754	0.00476228259237396	1
AAEL008588	0.964208594733193	1.40418409941018	0.00506139361170079	1
AAEL026976	-0.345082170841466	4.73140748478809	0.00523226276369991	1
AAEL000308	-2.2759954785816	-0.0975589696678634	0.00557024624131937	1
AAEL009338	0.721522785314787	2.64723942400346	0.00574343981761802	1
AAEL013351	0.335351224347255	4.97733335713845	0.0057438339307896	1
AAEL009190	0.304364179755882	5.14736726132476	0.00586554646665339	1
