id	C3a1	C3a2	C3a3	Control1	Control2	Control3
AAEL026375	0	0	0	0	0	0
AAEL028160	2	0	0	0	0	0
AAEL022532	0	0	0	0	0	0
AAEL023670	0	0	0	0	0	0
AAEL026968	0	0	0	0	0	0
AAEL027846	0	0	0	0	0	0
AAEL024932	1	0	2	0	0	1
AAEL005680	0	0	0	0	0	0
AAEL023204	0	0	0	0	0	0
AAEL022958	0	0	0	0	0	0
AAEL024807	0	0	0	0	0	0
AAEL024185	0	0	0	0	0	0
AAEL026938	0	0	0	0	0	0
AAEL025768	0	0	0	0	0	0
AAEL026536	8	3	3	7	4	6
AAEL023986	0	0	0	0	0	0
AAEL024523	0	0	0	0	0	0
AAEL027333	0	0	0	0	0	0
AAEL011835	0	0	0	0	0	0
AAEL024089	6	3	1	4	2	6
AAEL023774	0	0	0	0	0	0
AAEL027473	0	0	0	0	0	0
AAEL024573	0	0	0	0	0	0
AAEL028930	0	0	0	0	0	0
AAEL021023	0	0	0	0	0	0
AAEL022961	0	0	0	0	0	0
AAEL021362	0	0	0	0	0	0
AAEL008245	0	0	0	0	0	0
AAEL024092	0	0	0	0	0	0
AAEL023775	0	0	0	0	0	0
AAEL026748	0	0	0	2	0	0
AAEL024348	0	0	0	0	0	0
AAEL026151	0	0	0	0	0	0
AAEL026215	77	95	82	114	94	75
AAEL024802	0	0	0	0	0	0
AAEL027169	0	0	0	0	0	0
AAEL021190	1	6	1	3	0	5
AAEL022557	0	0	0	0	0	0
AAEL009339	112	121	144	141	111	110
AAEL028102	0	0	0	0	0	0
AAEL028770	0	0	0	0	0	0
AAEL023486	0	0	0	0	0	0
AAEL024451	0	2	0	1	2	1
AAEL020212	0	0	0	0	0	0
AAEL023380	6	4	1	8	11	5
AAEL023000	0	2	0	0	0	0
AAEL022169	20	33	18	26	26	21
AAEL026780	6	2	4	2	0	3
AAEL027987	2	3	0	2	2	2
AAEL022013	4	3	3	10	2	11
AAEL021528	3	2	3	0	0	2
AAEL022879	0	0	0	0	0	0
AAEL027590	0	0	0	0	0	0
AAEL020746	0	0	0	0	0	0
AAEL023766	0	0	0	0	0	0
AAEL021404	0	0	0	0	0	0
AAEL021627	0	0	0	0	0	0
AAEL022366	0	0	0	0	0	0
AAEL026526	0	0	0	0	0	0
AAEL025946	0	0	0	0	0	0
AAEL028909	0	0	0	0	0	0
AAEL020994	0	1	0	0	0	0
AAEL025603	1	1	0	1	0	0
AAEL023855	0	0	0	0	0	0
AAEL024217	0	0	0	0	0	0
AAEL020524	79	84	100	106	100	75
AAEL022075	0	0	0	0	0	0
AAEL022318	0	0	1	0	0	2
AAEL023417	0	0	0	0	0	0
AAEL026694	0	0	0	0	0	0
AAEL022435	0	0	0	0	0	0
AAEL026045	0	1	0	0	0	0
AAEL003192	58	63	76	61	55	66
AAEL027016	0	0	0	0	0	0
AAEL021590	0	0	0	0	0	0
AAEL021442	0	0	0	0	0	0
AAEL017258	1	9	2	3	15	3
AAEL002318	0	0	0	0	0	0
AAEL025207	0	0	0	0	0	0
AAEL007077	41	28	20	25	15	28
AAEL024156	0	0	0	0	0	0
AAEL027743	0	0	0	0	0	0
AAEL027945	0	0	0	0	0	0
AAEL020187	0	0	0	0	0	0
AAEL022236	0	0	0	0	0	0
AAEL021547	0	0	0	0	0	0
AAEL025900	0	0	0	0	0	0
AAEL024827	0	0	0	0	0	0
AAEL028936	0	0	0	0	0	0
AAEL017192	0	0	0	0	0	0
AAEL018873	0	0	0	0	0	0
AAEL023653	0	0	0	0	0	0
AAEL027000	0	0	0	0	0	0
AAEL022857	0	0	0	0	0	0
AAEL020703	0	0	0	0	0	0
AAEL005140	0	0	0	0	0	0
AAEL005136	0	0	0	0	2	0
AAEL026783	0	0	0	0	0	0
AAEL024719	0	0	0	0	0	0
AAEL024775	69	63	70	60	51	48
AAEL027289	0	0	0	0	0	0
AAEL002622	0	0	0	0	0	0
AAEL024096	0	0	0	0	0	0
AAEL025659	0	0	0	0	0	0
AAEL022057	0	0	0	0	0	0
AAEL024516	9	9	6	6	6	6
AAEL020814	0	0	0	0	0	0
AAEL024965	0	0	0	0	0	0
AAEL022981	17	10	12	4	6	15
AAEL025400	3	8	10	4	9	3
AAEL022188	0	0	0	0	0	0
AAEL028017	0	0	0	0	0	0
AAEL026855	0	0	0	0	0	0
AAEL026438	1	2	2	3	2	2
AAEL028673	0	0	0	0	0	0
AAEL022167	7	6	7	10	4	12
AAEL024882	0	0	0	0	0	0
AAEL028059	0	0	0	0	0	0
AAEL025781	0	0	0	0	0	0
AAEL021186	0	0	0	0	0	0
AAEL022707	0	0	0	0	0	0
AAEL023622	0	0	0	0	0	0
AAEL021447	39	26	24	26	23	23
AAEL026175	326	327	341	382	318	353
AAEL025324	0	0	0	0	0	0
AAEL028242	0	0	0	0	0	0
AAEL022410	0	0	0	0	0	0
AAEL027045	0	0	0	0	0	0
AAEL021098	0	0	0	0	0	0
AAEL026650	0	0	0	1	0	0
AAEL025379	17	20	21	26	28	28
AAEL022340	0	0	0	0	0	0
AAEL027593	0	0	0	0	0	0
AAEL010069	0	0	0	0	0	0
AAEL024379	0	0	0	0	0	0
AAEL025655	0	0	0	0	0	0
AAEL023702	80	68	60	73	55	57
AAEL021269	0	0	0	0	0	0
AAEL000449	0	0	0	0	0	0
AAEL020907	0	0	0	0	0	0
AAEL022929	0	0	0	0	0	0
AAEL026692	0	0	0	0	0	0
AAEL027620	0	0	0	0	0	1
AAEL026532	0	0	0	0	0	0
AAEL024011	0	0	0	0	0	0
AAEL020986	2	1	0	0	0	2
AAEL022278	0	0	0	0	0	0
AAEL024374	0	0	0	0	0	0
AAEL021368	0	0	0	0	0	0
AAEL024020	0	0	0	0	0	0
AAEL028789	0	0	0	0	0	0
AAEL021923	22	27	22	30	26	18
AAEL027140	2	3	2	3	4	0
AAEL022654	0	0	0	0	0	0
AAEL025429	2	1	3	1	0	1
AAEL023130	0	0	0	0	0	0
AAEL026457	0	0	0	0	0	0
AAEL027656	4	1	4	7	4	3
AAEL012235	0	0	0	0	0	0
AAEL024190	0	0	0	0	0	0
AAEL024286	0	0	0	0	0	0
AAEL021807	2	3	4	2	0	2
AAEL025417	0	0	3	0	0	1
AAEL022953	0	0	0	0	0	0
AAEL026634	282	262	245	274	267	247
AAEL022939	0	0	0	0	0	0
AAEL027784	0	0	1	0	0	0
AAEL020670	0	0	0	0	0	0
AAEL025287	0	0	0	0	0	0
AAEL027653	0	0	0	0	0	0
AAEL021881	0	0	0	0	0	0
AAEL026422	0	0	0	0	0	0
AAEL023150	0	0	0	0	0	0
AAEL022699	0	0	0	0	0	0
AAEL026314	0	0	0	0	0	0
AAEL027290	0	0	0	0	0	0
AAEL023755	0	0	0	0	0	0
AAEL005433	8	15	8	4	11	12
AAEL022095	0	0	0	0	0	0
AAEL024578	0	0	0	0	0	0
AAEL025583	0	0	0	0	0	0
AAEL022832	0	0	0	0	0	0
AAEL024694	0	0	0	0	0	0
AAEL027218	0	0	0	0	0	0
AAEL024579	0	0	0	0	0	0
AAEL028750	0	0	0	0	0	0
AAEL023185	0	0	0	0	0	0
AAEL028661	0	0	0	0	0	0
AAEL028717	0	0	0	0	0	0
AAEL028964	0	0	0	0	0	0
AAEL028864	0	0	0	0	0	0
AAEL028904	0	0	0	0	0	0
AAEL028759	0	0	0	0	0	0
AAEL026577	0	0	0	0	0	0
AAEL023142	0	0	0	0	0	0
AAEL025062	0	0	0	0	0	0
AAEL023796	0	0	0	0	0	0
AAEL023779	0	1	0	4	0	0
AAEL025834	0	0	0	0	0	0
AAEL023566	0	0	1	1	0	1
AAEL020243	0	0	0	0	2	0
AAEL024673	0	0	0	0	0	0
AAEL021932	0	0	0	0	0	0
AAEL000808	0	0	0	0	0	0
AAEL024469	0	0	0	0	0	0
AAEL027352	0	0	0	0	0	0
AAEL024455	2	0	0	3	4	1
AAEL025666	0	0	0	0	0	0
AAEL028851	0	0	0	0	0	0
AAEL022709	0	0	0	0	0	0
AAEL027460	0	0	0	0	0	0
AAEL005252	0	0	0	0	0	0
AAEL025646	0	0	0	0	0	0
AAEL021993	0	0	0	0	0	0
AAEL022673	0	0	0	0	0	0
AAEL026273	0	0	0	0	0	0
AAEL021486	0	0	0	0	0	0
AAEL025203	0	0	0	0	0	0
AAEL025956	0	0	0	0	0	0
AAEL026405	0	0	0	1	0	0
AAEL022394	0	0	0	0	0	0
AAEL026841	0	0	0	0	0	0
AAEL004489	50	60	62	54	26	61
AAEL023273	0	0	0	0	0	0
AAEL004503	76	83	94	100	132	97
AAEL027764	0	0	0	0	0	0
AAEL025489	0	0	0	0	0	0
AAEL021402	0	0	0	0	0	0
AAEL027762	0	0	0	0	0	0
AAEL003541	6	0	3	0	0	2
AAEL024393	0	0	0	0	0	0
AAEL020231	0	0	0	0	0	0
AAEL025059	0	0	0	0	0	0
AAEL020692	0	0	0	0	0	0
AAEL021915	0	0	0	0	0	0
AAEL026688	0	0	0	0	0	0
AAEL023108	0	0	0	0	0	0
AAEL027335	122	98	111	120	87	73
AAEL024298	2	1	0	1	0	2
AAEL028734	0	0	0	0	0	0
AAEL020564	0	0	0	0	0	0
AAEL024898	0	0	0	0	0	0
AAEL022357	0	0	0	0	0	0
AAEL027782	0	0	0	0	0	0
AAEL020945	0	0	0	0	0	0
AAEL024119	0	0	0	0	0	1
AAEL024679	0	0	0	0	0	0
AAEL023734	0	0	0	0	0	0
AAEL020082	0	0	1	0	0	0
AAEL027715	0	0	0	0	0	0
AAEL023934	0	0	0	0	0	0
AAEL026873	0	0	0	0	0	0
AAEL027305	0	0	0	0	0	0
AAEL020194	0	2	2	0	0	4
AAEL023966	0	0	0	0	0	0
AAEL025057	0	1	1	2	0	2
AAEL028823	0	0	0	0	0	0
AAEL023099	0	0	0	1	0	0
AAEL026239	0	0	0	0	0	0
AAEL028772	0	0	0	0	0	0
AAEL026632	0	0	0	0	0	0
AAEL027561	0	0	0	0	0	0
AAEL023102	0	0	0	3	0	0
AAEL020119	0	0	0	0	0	0
AAEL026685	0	0	0	0	0	0
AAEL021809	0	0	0	0	0	0
AAEL020701	0	0	0	0	0	0
AAEL025432	0	0	0	0	0	0
AAEL022739	0	0	0	0	0	0
AAEL023886	0	0	0	0	0	0
