id	Inactivated1	Inactivated2	Normal1	Normal2
AAEL026375	0	0	0	0
AAEL028160	0	0	0	0
AAEL022532	0	0	0	0
AAEL023670	0	0	0	0
AAEL026968	0	0	0	0
AAEL027846	0	0	0	0
AAEL024932	17	3	8	11
AAEL005680	0	0	0	0
AAEL023204	0	0	0	0
AAEL022958	0	0	0	0
AAEL024807	0	0	0	0
AAEL024185	0	0	0	0
AAEL026938	0	0	0	0
AAEL025768	0	0	0	0
AAEL026536	6	8	0	5
AAEL023986	0	0	1	0
AAEL024523	0	0	0	0
AAEL027333	0	0	0	0
AAEL011835	0	0	0	0
AAEL024089	8	1	0	5
AAEL023774	0	0	0	0
AAEL027473	0	0	0	0
AAEL024573	0	0	0	0
AAEL028930	0	0	0	0
AAEL021023	0	0	0	0
AAEL022961	0	0	0	0
AAEL021362	0	0	0	0
AAEL008245	0	0	0	0
AAEL024092	0	0	0	0
AAEL023775	0	0	0	0
AAEL026748	0	0	0	4
AAEL024348	0	0	0	0
AAEL026151	0	0	0	0
AAEL026215	114	131	109	188
AAEL024802	0	0	0	0
AAEL027169	0	0	0	0
AAEL021190	2	2	9	6
AAEL022557	0	0	0	0
AAEL009339	57	81	64	39
AAEL028102	0	0	0	0
AAEL028770	0	0	0	0
AAEL023486	0	0	0	0
AAEL024451	1	2	1	4
AAEL020212	0	0	0	0
AAEL023380	19	36	20	43
AAEL023000	0	1	2	0
AAEL022169	7	10	16	10
AAEL026780	1	3	0	1
AAEL027987	1	5	0	0
AAEL022013	9	29	0	18
AAEL021528	0	0	0	2
AAEL022879	0	0	0	0
AAEL027590	0	0	0	0
AAEL020746	0	0	0	0
AAEL023766	0	0	0	0
AAEL021404	0	0	0	0
AAEL021627	0	0	0	0
AAEL022366	0	0	0	0
AAEL026526	0	0	0	0
AAEL025946	0	0	0	0
AAEL028909	0	0	0	0
AAEL020994	0	0	0	0
AAEL025603	0	0	0	0
AAEL023855	0	0	0	0
AAEL024217	0	0	0	0
AAEL020524	417	86	329	307
AAEL022075	0	0	0	0
AAEL022318	0	0	0	0
AAEL023417	0	0	0	0
AAEL026694	0	0	0	0
AAEL022435	0	0	0	0
AAEL026045	0	0	0	1
AAEL003192	24	33	27	37
AAEL027016	0	0	0	0
AAEL021590	0	0	0	0
AAEL021442	0	0	0	0
AAEL017258	15	5	7	10
AAEL002318	0	0	0	0
AAEL025207	0	0	0	0
AAEL007077	25	30	25	33
AAEL024156	0	0	0	0
AAEL027743	0	0	0	0
AAEL027945	0	0	0	0
AAEL020187	0	1	0	1
AAEL022236	0	0	0	0
AAEL021547	1	0	0	0
AAEL025900	0	0	0	0
AAEL024827	0	0	0	0
AAEL028936	0	0	0	0
AAEL017192	0	0	0	0
AAEL018873	0	0	0	0
AAEL023653	0	0	0	0
AAEL027000	0	0	0	0
AAEL022857	0	0	0	0
AAEL020703	0	0	0	0
AAEL005140	0	0	0	0
AAEL005136	0	0	0	0
AAEL026783	0	0	0	0
AAEL024719	0	0	0	0
AAEL024775	13	10	7	31
AAEL027289	0	0	0	0
AAEL002622	0	0	0	0
AAEL024096	0	0	0	0
AAEL025659	0	0	0	0
AAEL022057	0	0	0	0
AAEL024516	18	23	20	27
AAEL020814	0	0	0	0
AAEL024965	0	0	0	0
AAEL022981	4	2	0	0
AAEL025400	16	11	11	7
AAEL022188	0	0	0	0
AAEL028017	0	0	0	0
AAEL026855	0	0	0	0
AAEL026438	1	0	2	2
AAEL028673	0	0	0	0
AAEL022167	3	0	4	2
AAEL024882	0	0	0	0
AAEL028059	0	0	0	0
AAEL025781	0	0	0	0
AAEL021186	0	0	0	0
AAEL022707	0	0	0	0
AAEL023622	0	0	0	0
AAEL021447	5	16	2	29
AAEL026175	250	636	1057	869
AAEL025324	3	9	23	13
AAEL028242	0	0	0	0
AAEL022410	0	0	0	0
AAEL027045	0	0	0	0
AAEL021098	0	0	0	0
AAEL026650	24	26	3	16
AAEL025379	34	47	25	53
AAEL022340	0	0	0	0
AAEL027593	0	0	0	0
AAEL010069	0	1	0	0
AAEL024379	0	0	0	0
AAEL025655	0	0	0	0
AAEL023702	58	121	77	70
AAEL021269	0	0	0	0
AAEL000449	0	0	0	0
AAEL020907	0	0	0	0
AAEL022929	0	1	0	1
AAEL026692	0	0	0	0
AAEL027620	0	0	0	0
AAEL026532	0	3	0	2
AAEL024011	0	0	0	0
AAEL020986	99	87	76	141
AAEL022278	1	4	0	2
AAEL024374	0	0	0	0
AAEL021368	0	0	0	0
AAEL024020	0	0	0	0
AAEL028789	0	0	0	0
AAEL021923	46	42	29	40
AAEL027140	1	0	2	8
AAEL022654	0	0	0	0
AAEL025429	2	2	0	3
AAEL023130	0	0	0	0
AAEL026457	0	0	0	0
AAEL027656	0	0	1	0
AAEL012235	26	32	24	8
AAEL024190	0	1	0	0
AAEL024286	0	0	0	0
AAEL021807	6	6	0	1
AAEL025417	8	18	1	11
AAEL022953	0	0	0	0
AAEL026634	140	215	87	103
AAEL022939	0	0	0	0
AAEL027784	0	0	0	0
AAEL020670	0	0	0	0
AAEL025287	0	0	0	0
AAEL027653	0	0	0	0
AAEL021881	0	0	0	0
AAEL026422	0	0	0	0
AAEL023150	0	0	0	0
AAEL022699	0	0	0	0
AAEL026314	0	0	0	0
AAEL027290	0	0	0	0
AAEL023755	0	0	0	0
AAEL005433	2	2	0	0
AAEL022095	0	0	0	0
AAEL024578	0	0	0	0
AAEL025583	0	0	0	0
AAEL022832	0	0	0	0
AAEL024694	0	0	0	0
AAEL027218	0	0	0	0
AAEL024579	0	0	0	0
AAEL028750	0	0	0	0
