logFC	logCPM	PValue	FDR
AAEL010435	-9.95309607664754	9.45384511551361	7.15483332718146e-86	1.41036074545401e-81
AAEL013118	-9.29588234119574	9.81810148688959	1.59521992891e-84	1.5722487619337e-80
AAEL009165	-11.3251964306034	8.7609161330646	1.41404920504563e-78	9.2912459766198e-75
AAEL010202	-9.60577160182762	8.17108391817076	1.208720622272e-76	5.9565752265564e-73
AAEL007432	-7.47865040322631	11.2921253854437	5.50024057056278e-73	2.16841484253867e-69
AAEL013715	-7.39867151668585	9.46941265510749	1.12839396299495e-71	3.70715029975941e-68
AAEL013712	-8.69410411035743	8.69488920971342	2.49873810028898e-71	7.03644649041377e-68
AAEL019470	-9.27351481835621	7.85739166084958	1.81041672770418e-68	4.46086681706311e-65
AAEL013284	-8.23702483742555	8.87402152585388	5.77589318530797e-62	1.26504896076434e-58
AAEL023729	-6.42945975670191	9.87117013049666	1.60528280495483e-59	3.16433346512696e-56
AAEL007812	-7.82427266328101	5.83706193060076	1.42666830159054e-49	2.55658959645024e-46
AAEL005533	-6.45395689082667	7.849799409918	1.67516635730184e-49	2.75173993626115e-46
AAEL001690	-5.56628558680899	11.7927755347019	4.72925957101617e-47	7.1710126664516e-44
AAEL001674	-7.53414189152226	7.36991061057683	2.54386014799078e-42	3.58175508837102e-39
AAEL014600	-4.91228486812376	8.45859020138256	8.02582060260059e-41	1.05469983812309e-37
AAEL002269	-4.83868779486592	9.15742674004959	5.22884747046486e-40	6.4419400836127e-37
AAEL010196	-7.03012839264301	9.4453930170652	1.52678740343047e-39	1.7703548997895e-36
AAEL022600	-4.8521082646468	8.25089386308335	4.65987277315601e-39	5.10307845024729e-36
AAEL006381	-4.60664092038042	9.50194976763995	5.46092978860766e-39	5.6655709470018e-36
AAEL013611	-4.81297122778778	7.81639528514859	1.99502121720866e-38	1.96629291168086e-35
AAEL001693	-5.09086742222303	9.45089891817969	1.13697453135922e-33	1.06724009343585e-30
AAEL022646	5.27862285221699	5.33239885527008	1.38906896466085e-33	1.24460579233612e-30
AAEL005188	-11.2671662326636	4.57427520500486	1.56900448251688e-33	1.34470505910316e-30
AAEL002742	-5.16096023650572	5.22569517447289	3.25204234071299e-31	2.67101077583894e-28
AAEL001100	-4.63939017322715	8.59911947213499	9.34941950087383e-31	7.371830288049e-28
AAEL015136	-4.33884886484572	8.0527933675909	1.63356966282865e-30	1.23849712283378e-27
AAEL002467	-4.72309876904548	9.5170782682132	9.97444691876041e-30	7.28208509861501e-27
AAEL004335	-4.24508753843753	6.36835299818705	1.83216082603221e-29	1.28984122152667e-26
AAEL003606	-3.85609521765574	10.3928705033288	3.69359374595068e-29	2.51062482483378e-26
AAEL027166	-3.99212242124839	8.80783093657138	6.6566566950135e-29	4.37386722573687e-26
AAEL010434	-7.04808169414472	8.57626148191839	1.64927142759508e-28	1.048723818734e-25
AAEL006563	-6.36804754510194	6.19001895110866	3.35355070533458e-28	2.0657872344861e-25
AAEL023559	-4.04929591721796	8.36264578131413	2.00247221417799e-27	1.19614340260232e-24
AAEL015631	-4.26800120702437	8.33849455424741	2.78876742904056e-27	1.61682892827199e-24
AAEL000213	-3.97070326726771	7.97891655653258	4.80645214289515e-27	2.70699384687855e-24
AAEL007601	-6.76399509348748	7.63074190558763	3.94854665710443e-26	2.16204865846785e-23
AAEL000223	-3.75297098447939	7.14542589823534	5.30673226077638e-26	2.82719746822768e-23
AAEL006126	-5.11641447042652	5.81672690030304	8.30484074899098e-26	4.30802686431869e-23
AAEL000080	-4.20591830369042	8.46610375595915	8.94420698990131e-25	4.52072328679319e-22
AAEL004933	-3.85600152558179	5.61456969584174	1.05895598725977e-24	5.21853510521615e-22
AAEL006425	3.42231089002855	8.90050853353792	1.92190308810831e-24	9.24013504214415e-22
AAEL007191	-3.66771878222881	6.98976747048562	2.87288381877658e-24	1.34834013894581e-21
AAEL003318	-3.90537409879659	7.62843991674658	4.61366404138592e-24	2.11498943218138e-21
AAEL026843	3.68095347392309	7.06704281726275	6.58750406057694e-24	2.95120181913847e-21
AAEL011756	-3.69245741561383	6.0878633856466	5.13763401036667e-23	2.25051203582995e-20
AAEL011319	3.98865351471387	7.20082740997655	5.40124270800198e-23	2.31454991869859e-20
AAEL008769	-3.21510523274686	9.77551989632043	9.75875233835935e-23	4.09286225731361e-20
AAEL008876	-5.16851921101112	5.35571856032297	2.06327013386299e-22	8.47316268306401e-20
AAEL019708	-5.00577827299967	6.37584946879554	2.47617620859184e-22	9.96130314770661e-20
AAEL023444	4.50637875018934	4.52594700709426	1.3695419485529e-21	5.39928217797496e-19
AAEL007555	-3.20045405872077	8.23996079245389	1.4257677562922e-21	5.51073215922194e-19
AAEL012578	-3.25325760572001	9.16940348536811	2.69581296297439e-21	1.02192048319522e-18
AAEL014871	-3.22093069820904	7.82844194661009	2.75874639264761e-21	1.02604545079e-18
AAEL007226	-3.76855695632463	6.02830952103286	6.44094301162367e-21	2.35118275268751e-18
AAEL010640	-3.10824767854668	8.60183947104468	8.48082758203034e-21	3.03952860539967e-18
AAEL012825	-3.08226829356113	8.87597231577191	1.25475012648912e-20	4.41672044524172e-18
AAEL015451	-12.1574993174243	5.45403025359917	2.2295542185151e-20	7.71034609743326e-18
