logFC	logCPM	PValue	FDR
AAEL013715	-8.30220120861076	10.3680038222524	2.83866237632466e-71	5.59557127621117e-67
AAEL013118	-9.3043921709082	9.82326809589361	1.00087034167608e-68	9.86457808755948e-65
AAEL010435	-9.45659119725808	8.96215808315435	5.1878481072704e-67	3.40876206301714e-63
AAEL007432	-7.35286706270612	11.1675278306771	1.2887383867513e-60	6.35090276991039e-57
AAEL019470	-9.42260350968596	8.00762195814741	8.90947799456765e-58	3.51247260457835e-54
AAEL023729	-6.89212576508841	10.3285266847059	6.52691117423275e-56	2.14430788444127e-52
AAEL010202	-8.74466434097538	7.31094415799775	2.6987240662256e-54	7.5996069704913e-51
AAEL013712	-8.04300289933385	8.04123951717907	6.12373301111504e-50	1.50888781393875e-46
AAEL007812	-8.18167114548817	6.18811804982759	5.7317951926289e-44	1.25539052041223e-40
AAEL001690	-5.55354017248837	11.7802180540526	6.14758890016218e-43	1.21181272399997e-39
AAEL013284	-7.1280638756809	7.76869229812718	3.75852184884826e-42	6.73527115313608e-39
AAEL009165	-9.76794829431358	7.200083043033	4.38530743581097e-40	7.20359834789215e-37
AAEL014600	-5.30424599705435	8.83928849913332	5.47953478251782e-37	8.30866074099933e-34
AAEL015451	-11.8975030588517	5.26555589238067	4.95041333520855e-36	6.97018197597363e-33
AAEL002269	-5.05908025003427	9.37094332344336	5.7589607709278e-35	7.56804231443525e-32
AAEL022600	-4.77204098679895	8.17313008101973	3.57224143654337e-33	4.40100144982143e-30
AAEL001693	-5.49611998199553	9.84521810308353	8.36122817097568e-33	9.69508998272192e-30
AAEL010196	-6.80095122377103	9.21598965660681	9.12866618169009e-33	9.99690376519306e-30
AAEL015136	-4.92476670581821	8.61432562929152	1.81148187891784e-32	1.8793647788015e-29
AAEL010434	-5.54617152499881	7.10163821444002	2.03002827362418e-32	2.00079586648399e-29
AAEL005533	-5.93441649825213	7.33252557367515	3.94746684881799e-32	3.70535554875716e-29
AAEL006381	-4.98714736235544	9.86900208894309	1.88631356951704e-31	1.69013695828727e-28
AAEL000797	-5.57596746802812	6.10502328818303	2.71695030738713e-31	2.32854454170501e-28
AAEL002467	-5.05202568700799	9.83455021329888	7.7674434460494e-29	6.37966021702191e-26
AAEL013611	-4.68020760127334	7.68693902131409	1.31229185085193e-27	1.03471587855973e-24
AAEL006138	-6.87172135484954	7.96116580851856	9.78940247087041e-27	7.42187313483836e-24
AAEL001674	-6.51840267824089	6.3612203567032	3.50238072333523e-26	2.55699736364385e-23
AAEL000213	-4.01177461779158	8.01702782304041	1.35725532305254e-25	9.55507747428991e-23
