id	Normal1	Normal2	SugarFed1	SugarFed2
AAEL026375	0	0	0	0
AAEL028160	0	0	0	0
AAEL022532	0	0	0	0
AAEL023670	0	0	0	0
AAEL026968	0	0	0	0
AAEL027846	0	0	0	0
AAEL024932	7	11	14	5
AAEL005680	0	0	0	0
AAEL023204	0	0	0	0
AAEL022958	0	0	0	0
AAEL024807	0	0	0	0
AAEL024185	0	0	0	0
AAEL026938	0	0	0	0
AAEL025768	0	0	0	0
AAEL026536	0	5	8	4
AAEL023986	1	0	0	0
AAEL024523	0	0	0	0
AAEL027333	0	0	0	0
AAEL011835	0	0	0	0
AAEL024089	0	5	0	4
AAEL023774	0	0	0	0
AAEL027473	0	0	0	0
AAEL024573	0	0	0	0
AAEL028930	0	0	0	0
AAEL021023	0	0	0	0
AAEL022961	0	0	0	0
AAEL021362	0	0	0	0
AAEL008245	0	0	0	0
AAEL024092	0	0	0	0
AAEL023775	0	0	0	0
AAEL026748	0	4	1	0
AAEL024348	0	0	0	0
AAEL026151	0	0	0	0
AAEL026215	102	176	46	33
AAEL024802	0	0	0	0
AAEL027169	0	0	0	0
AAEL021190	8	6	12	4
AAEL022557	0	0	0	0
AAEL009339	60	36	38	71
AAEL028102	0	0	0	0
AAEL028770	0	0	0	0
AAEL023486	0	0	0	0
AAEL024451	1	4	5	3
AAEL020212	0	0	0	0
AAEL023380	18	40	17	16
AAEL023000	2	0	6	5
AAEL022169	15	10	1	3
AAEL026780	0	1	2	2
AAEL027987	0	0	1	1
AAEL022013	0	17	42	56
AAEL021528	0	2	0	0
AAEL022879	0	0	0	0
AAEL027590	0	0	0	0
AAEL020746	0	0	0	0
AAEL023766	0	0	0	0
AAEL021404	0	0	0	0
AAEL021627	0	0	0	0
AAEL022366	0	0	0	0
AAEL026526	0	0	0	0
AAEL025946	0	0	0	0
AAEL028909	0	0	0	0
AAEL020994	0	0	0	0
AAEL025603	0	0	0	1
AAEL023855	0	0	0	0
AAEL024217	0	0	0	0
AAEL020524	309	289	454	709
AAEL022075	0	0	0	0
AAEL022318	0	0	0	1
AAEL023417	0	0	0	0
AAEL026694	0	0	0	0
AAEL022435	0	0	0	0
AAEL026045	0	1	0	0
AAEL003192	26	35	5	11
AAEL027016	0	0	0	0
AAEL021590	0	0	0	0
AAEL021442	0	0	0	0
AAEL017258	6	10	1	11
AAEL002318	0	0	0	0
AAEL025207	0	0	0	0
AAEL007077	24	31	31	15
AAEL024156	0	0	0	0
AAEL027743	0	0	0	0
AAEL027945	0	0	0	0
AAEL020187	0	1	0	0
AAEL022236	0	0	0	0
AAEL021547	0	0	0	0
AAEL025900	0	0	0	0
AAEL024827	0	0	0	0
AAEL028936	0	0	0	0
AAEL017192	0	0	0	0
AAEL018873	0	0	0	0
AAEL023653	0	0	0	0
AAEL027000	0	0	0	0
AAEL022857	0	0	0	0
AAEL020703	0	0	0	0
AAEL005140	0	0	0	0
AAEL005136	0	0	0	0
AAEL026783	0	0	0	0
AAEL024719	0	0	0	0
AAEL024775	6	29	11	11
AAEL027289	0	0	0	0
AAEL002622	0	0	0	0
AAEL024096	0	0	0	0
AAEL025659	0	0	0	4
AAEL022057	0	0	0	0
AAEL024516	18	25	11	21
AAEL020814	0	0	0	0
AAEL024965	0	0	0	0
AAEL022981	0	0	8	0
AAEL025400	10	7	10	8
AAEL022188	0	0	0	0
AAEL028017	0	0	0	0
AAEL026855	0	0	0	0
AAEL026438	2	2	0	0
AAEL028673	0	0	0	0
AAEL022167	4	2	1	4
AAEL024882	0	0	0	0
AAEL028059	0	0	0	0
AAEL025781	0	0	0	0
AAEL021186	0	0	0	0
AAEL022707	0	0	0	0
AAEL023622	0	0	0	0
AAEL021447	2	27	17	21
AAEL026175	994	817	99	198
AAEL025324	21	12	0	3
AAEL028242	0	0	0	0
AAEL022410	0	0	0	1
AAEL027045	0	0	0	0
AAEL021098	0	0	0	0
AAEL026650	3	15	36	25
AAEL025379	24	50	49	57
AAEL022340	0	0	0	0
AAEL027593	0	0	0	0
AAEL010069	0	0	0	0
AAEL024379	0	0	0	0
AAEL025655	0	0	0	0
AAEL023702	73	66	69	77
AAEL021269	0	0	0	0
AAEL000449	0	0	0	0
AAEL020907	0	0	0	0
AAEL022929	0	1	0	4
AAEL026692	0	0	0	0
AAEL027620	0	0	0	0
AAEL026532	0	2	0	0
AAEL024011	0	0	0	0
AAEL020986	72	132	98	79
AAEL022278	0	2	0	1
AAEL024374	0	0	0	0
AAEL021368	0	0	0	0
AAEL024020	0	0	0	0
AAEL028789	0	0	0	0
AAEL021923	28	37	34	39
AAEL027140	2	8	8	0
AAEL022654	0	0	0	0
AAEL025429	0	3	1	1
AAEL023130	0	0	0	0
AAEL026457	0	0	0	0
AAEL027656	1	0	0	0
AAEL012235	22	8	30	23
AAEL024190	0	0	0	1
AAEL024286	0	0	0	0
AAEL021807	0	1	2	3
AAEL025417	1	11	13	12
AAEL022953	0	0	0	0
AAEL026634	82	97	113	466
AAEL022939	0	0	0	0
AAEL027784	0	0	0	0
AAEL020670	0	0	0	0
AAEL025287	0	0	0	0
AAEL027653	0	0	0	0
AAEL021881	0	0	0	0
AAEL026422	0	0	0	0
AAEL023150	0	0	0	0
AAEL022699	0	0	0	0
AAEL026314	0	0	0	0
AAEL027290	0	0	0	0
AAEL023755	0	0	0	0
AAEL005433	0	0	2	5
AAEL022095	0	0	0	0
AAEL024578	0	0	0	0
AAEL025583	0	0	0	0
AAEL022832	0	0	0	0
AAEL024694	0	0	0	0
AAEL027218	0	0	0	0
AAEL024579	0	0	0	0
AAEL028750	0	0	0	0
