Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
C3a1_mappable	13669731	6041928	1436516	0	0	0	0	5863664	0	0	276846	0	50777	44.1993189185654
C3a2_mappable	15139392	6533585	1748989	0	0	0	0	6457764	0	0	338284	0	60770	43.15619147717425
C3a3_mappable	14221752	6334106	1420886	0	0	0	0	6107487	0	0	301848	0	57425	44.53815535526143
C5a1_mappable	10903330	5064705	1172517	0	0	0	0	4402112	0	0	222984	0	41012	46.450992494953375
C5a2_mappable	12702791	5925643	1240405	0	0	0	0	5202451	0	0	283666	0	50626	46.64835468047927
C5a3_mappable	13036753	6038048	1129736	0	0	0	0	5524066	0	0	294084	0	50819	46.31558180169556
Control1_mappable	12958747	5511426	1493762	0	0	0	0	5622894	0	0	283927	0	46738	42.53054712774314
Control2_mappable	6326808	2661135	714368	0	0	0	0	2793800	0	0	133746	0	23759	42.06125743028712
Control3_mappable	16210943	6826900	1929507	0	0	0	0	7049583	0	0	343213	0	61740	42.11291101325814
Inactivated1_mappable	11863424	6012453	1218536	0	0	0	0	4432938	0	0	141851	0	57646	50.68058766170711
Inactivated2_mappable	13032518	6692810	1411168	0	0	0	0	4663000	0	0	202298	0	63242	51.35469599965256
Normal1_mappable	14036716	5615846	999250	0	0	0	0	7190566	0	0	176206	0	54848	40.00826119157786
Normal2_mappable	12500610	5954316	1049731	0	0	0	0	5252755	0	0	185430	0	58378	47.63220354846683
SugarFed1_mappable	8909040	4777521	957717	0	0	0	0	2986200	0	0	141701	0	45901	53.625542145955116
SugarFed2_mappable	11831341	6508685	1261594	0	0	0	0	3776838	0	0	228071	0	56153	55.012234031628374
