Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
.	73.63	6385143.0							
C3a1_mappable			44.1993189185654	6041928	61.976112953210546	48.0	47.99894994664082	9.090909090909092	9398570.0
C3a2_mappable			43.15619147717425	6533585	57.803932843685374	47.0	45.933306043719384	9.090909090909092	10428876.0
C3a3_mappable			44.53815535526143	6334106	60.25074951334039	48.0	46.88783045543422	18.181818181818183	9785321.0
C5a1_mappable			46.450992494953375	5064705	58.54383863896357	48.0	47.86131718269781	18.181818181818183	7728571.0
C5a2_mappable			46.64835468047927	5925643	58.79885119863296	48.0	47.55715988468416	18.181818181818183	8945172.0
C5a3_mappable			46.31558180169556	6038048	60.88710185170775	47.0	47.97268241739678	18.181818181818183	9033486.0
Control1_1					60.255278088422465	47.0	49.0	18.181818181818183	9040848.0
Control1_mappable			42.53054712774314	5511426	60.10847031769433	47.0	47.57239471608467	18.181818181818183	8841474.0
Control2_mappable			42.06125743028712	2661135	53.60377915267326	47.0	47.47627394343471	18.181818181818183	4279409.0
Control3_mappable			42.11291101325814	6826900	59.78139321414023	47.0	47.341488550882524	18.181818181818183	11050022.0
Inactivated1_mappable			50.68058766170711	6012453	60.905143207971314	49.0	46.802542896807545	9.090909090909092	8695752.0
Inactivated2_mappable			51.35469599965256	6692810	54.447374549310226	49.0	46.85555620323812	9.090909090909092	9709832.0
Normal1_mappable			40.00826119157786	5615846	68.18338200319323	47.0	47.72963560567283	18.181818181818183	8672281.0
Normal2_mappable			47.63220354846683	5954316	63.141444159583195	48.0	47.84948776897321	18.181818181818183	8690317.0
SugarFed1_mappable			53.625542145955116	4777521	59.76321602617093	49.0	46.913962083777335	18.181818181818183	6786752.0
SugarFed2_mappable			55.012234031628374	6508685	57.86999560067385	49.0	47.050056699975244	9.090909090909092	9164907.0
reads	0.0	0.0							
