Module	Section	Sample Name	Source
featureCounts	all_sections	Normal1_mappable	/work/count_hisat/inactivated_vs_normal_count.tsv.summary
featureCounts	all_sections	Normal2_mappable	/work/count_hisat/inactivated_vs_normal_count.tsv.summary
featureCounts	all_sections	SugarFed1_mappable	/work/count_hisat/inactivated_vs_sugarfed_count.tsv.summary
featureCounts	all_sections	SugarFed2_mappable	/work/count_hisat/inactivated_vs_sugarfed_count.tsv.summary
featureCounts	all_sections	C3a1_mappable	/work/count_hisat/c3a_vs_control_count.tsv.summary
featureCounts	all_sections	C3a2_mappable	/work/count_hisat/c3a_vs_control_count.tsv.summary
featureCounts	all_sections	C3a3_mappable	/work/count_hisat/c3a_vs_control_count.tsv.summary
featureCounts	all_sections	Control1_mappable	/work/count_hisat/c5a_vs_control_count.tsv.summary
featureCounts	all_sections	Control2_mappable	/work/count_hisat/c5a_vs_control_count.tsv.summary
featureCounts	all_sections	Control3_mappable	/work/count_hisat/c5a_vs_control_count.tsv.summary
featureCounts	all_sections	Inactivated1_mappable	/work/count_hisat/inactivated_vs_sugarfed_count.tsv.summary
featureCounts	all_sections	Inactivated2_mappable	/work/count_hisat/inactivated_vs_sugarfed_count.tsv.summary
featureCounts	all_sections	C5a1_mappable	/work/count_hisat/c5a_vs_control_count.tsv.summary
featureCounts	all_sections	C5a2_mappable	/work/count_hisat/c5a_vs_control_count.tsv.summary
featureCounts	all_sections	C5a3_mappable	/work/count_hisat/c5a_vs_control_count.tsv.summary
STAR	SummaryLog	Log.final.out	/work/reads/Log.final.out
FastQC	all_sections	Normal1_mappable	/work/quality_hisat/Normal1_mappable/Normal1_mappable_fastqc/fastqc_data.txt
FastQC	all_sections	Normal2_mappable	/work/quality/Normal2_mappable/Normal2_mappable_fastqc.zip
FastQC	all_sections	Control2_mappable	/work/quality/Control2/Control2_mappable_fastqc.zip
FastQC	all_sections	Inactivated2_mappable	/work/quality/Inactivated2_mappable/Inactivated2_mappable_fastqc.zip
FastQC	all_sections	Control3_mappable	/work/quality/Control3/Control3_mappable_fastqc.zip
FastQC	all_sections	SugarFed2_mappable	/work/quality/SugarFed2/SugarFed2_mappable_fastqc.zip
FastQC	all_sections	C3a1_mappable	/work/quality/C3a1_mappable/C3a1_mappable_fastqc.zip
FastQC	all_sections	SugarFed1_mappable	/work/quality/SugarFed1_mappable/SugarFed1_mappable_fastqc.zip
FastQC	all_sections	Inactivated1_mappable	/work/quality/Inactivated1/Inactivated1_mappable_fastqc.zip
FastQC	all_sections	C3a2_mappable	/work/quality/C3a2/C3a2_mappable_fastqc.zip
FastQC	all_sections	C5a3_mappable	/work/quality/C5a3_mappable/C5a3_mappable_fastqc.zip
FastQC	all_sections	C5a2_mappable	/work/quality/C5a2_mappable/C5a2_mappable_fastqc.zip
FastQC	all_sections	C3a3_mappable	/work/quality/C3a3/C3a3_mappable_fastqc.zip
FastQC	all_sections	C5a1_mappable	/work/quality/C5a1/C5a1_mappable_fastqc.zip
FastQC	all_sections	Control1_mappable	/work/quality/Control1_mappable/Control1_mappable_fastqc.zip
FastQC	all_sections	Control1_1	/work/reads/Control1_1/Control1_1_fastqc.zip
