ensembl_gene_id	chromosome_name	gene_biotype	description	protein_id	go_id
1	AAEL003192	NIGP01000133	protein_coding	mfs transporter [Source:VB Community Annotation]	EAT45535.1	GO:0016021
2	AAEL003192	NIGP01000133	protein_coding	mfs transporter [Source:VB Community Annotation]	EAT45535.1	GO:0055085
3	AAEL003192	NIGP01000133	protein_coding	mfs transporter [Source:VB Community Annotation]	EAT45535.1	GO:0022857
4	AAEL004489	NIGP01000295	protein_coding	Daxx-like protein [Source:VB Community Annotation]		
5	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0003735
6	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0006412
7	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0005840
8	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0005622
9	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0003735
10	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0006412
11	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0005840
12	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0005622
13	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0003735
14	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0006412
15	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0005840
16	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0005622
17	AAEL005939	NIGP01000497	protein_coding	mpv17 protein [Source:VB Community Annotation]	EJY57608.1	GO:0016021
18	AAEL006081	NIGP01000525	protein_coding	NADPH fad oxidoreductase [Source:VB Community Annotation]	EAT42389.1	GO:0016491
19	AAEL006081	NIGP01000525	protein_coding	NADPH fad oxidoreductase [Source:VB Community Annotation]	EAT42389.1	GO:0055114
20	AAEL006772	NIGP01000440	protein_coding			GO:0045132
21	AAEL006772	NIGP01000440	protein_coding			GO:0007062
22	AAEL006772	NIGP01000440	protein_coding			GO:0000070
23	AAEL006772	NIGP01000440	protein_coding			GO:0016407
24	AAEL007077	NIGP01000140	protein_coding	integrin beta 1 binding protein (melusin) [Source:VB Community Annotation]	EAT41267.1	
25	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0005524
26	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0016020
27	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0016021
28	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0004675
29	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0004672
30	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0007178
31	AAEL009339	NIGP01000080	protein_coding	activin receptor type I, putative [Source:VB Community Annotation]		GO:0006468
32	AAEL009987	NIGP01000650	protein_coding			GO:0046872
33	AAEL010461	NIGP01000470	protein_coding			
34	AAEL011754	NIGP01000599	protein_coding			
35	AAEL012235	NIGP01000214	protein_coding	Ribosome biogenesis protein NOP53 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FVP6]		GO:0005730
36	AAEL012235	NIGP01000214	protein_coding	Ribosome biogenesis protein NOP53 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FVP6]		GO:0000027
37	AAEL012235	NIGP01000214	protein_coding	Ribosome biogenesis protein NOP53 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FVP6]		GO:0005654
38	AAEL017258	NIGP01000139	protein_coding		EJY57413.1	GO:0016021
39	AAEL017258	NIGP01000139	protein_coding			
40	AAEL020133	NIGP01000667	protein_coding			
41	AAEL020197	NIGP01000470	protein_coding			GO:0019867
42	AAEL020524	NIGP01000124	protein_coding			GO:0016020
43	AAEL020524	NIGP01000124	protein_coding			GO:0016021
44	AAEL020524	NIGP01000124	protein_coding			GO:0005215
45	AAEL020524	NIGP01000124	protein_coding			GO:0055085
46	AAEL020524	NIGP01000124	protein_coding			GO:0022857
47	AAEL021190	NIGP01000077	protein_coding			GO:0016020
48	AAEL021190	NIGP01000077	protein_coding			GO:0009966
49	AAEL021447	NIGP01000184	protein_coding			GO:0016020
50	AAEL021447	NIGP01000184	protein_coding			GO:0015018
51	AAEL021767	NIGP01000446	protein_coding			
52	AAEL021915	NIGP01000315	protein_coding			GO:0003779
53	AAEL022013	NIGP01000101	protein_coding			GO:0003677
54	AAEL022013	NIGP01000101	protein_coding			GO:0008270
55	AAEL022013	NIGP01000101	protein_coding			GO:0005515
56	AAEL022056	NIGP01000612	protein_coding			GO:0005524
57	AAEL022056	NIGP01000612	protein_coding			GO:0015991
58	AAEL022056	NIGP01000612	protein_coding			GO:0046034
59	AAEL022056	NIGP01000612	protein_coding			GO:0033180
60	AAEL022056	NIGP01000612	protein_coding			GO:1902600
61	AAEL022169	NIGP01000101	protein_coding			GO:0006396
62	AAEL022169	NIGP01000101	protein_coding			GO:0004525
63	AAEL022530	NIGP01000558	protein_coding			GO:0007186
64	AAEL022530	NIGP01000558	protein_coding			GO:0019236
65	AAEL022585	NIGP01000470	protein_coding		EAT44874.1	
66	AAEL022632	NIGP01000412	protein_coding			
67	AAEL022665	NIGP01000727	protein_coding			
68	AAEL023240	NIGP01000525	protein_coding	U3 small nucleolar ribonucleoprotein component [Source:UniProtKB/TrEMBL;Acc:Q1HQS9]		
69	AAEL023255	NIGP01000422	protein_coding	Ribonucleoside-diphosphate reductase [Source:UniProtKB/TrEMBL;Acc:Q8WRS8]	EAT37356.1	GO:0005524
70	AAEL023255	NIGP01000422	protein_coding	Ribonucleoside-diphosphate reductase [Source:UniProtKB/TrEMBL;Acc:Q8WRS8]	EAT37356.1	GO:0055114
71	AAEL023255	NIGP01000422	protein_coding	Ribonucleoside-diphosphate reductase [Source:UniProtKB/TrEMBL;Acc:Q8WRS8]	EAT37356.1	GO:0006260
72	AAEL023255	NIGP01000422	protein_coding	Ribonucleoside-diphosphate reductase [Source:UniProtKB/TrEMBL;Acc:Q8WRS8]	EAT37356.1	GO:0004748
73	AAEL023468	NIGP01000557	protein_coding	Protein FAM50 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q16U25]	EAT38016.1	GO:0005634
74	AAEL023558	NIGP01000482	protein_coding			GO:0005319
75	AAEL023558	NIGP01000482	protein_coding			GO:0006869
76	AAEL023558	NIGP01000482	protein_coding			GO:0005548
77	AAEL024089	NIGP01000056	protein_coding			
78	AAEL024101	NIGP01000714	protein_coding			GO:0007264
79	AAEL024101	NIGP01000714	protein_coding			GO:0005085
80	AAEL024101	NIGP01000714	protein_coding			GO:0005622
81	AAEL024104	NIGP01000415	protein_coding			GO:0005524
82	AAEL024104	NIGP01000415	protein_coding			GO:0004672
83	AAEL024104	NIGP01000415	protein_coding			GO:0004713
84	AAEL024104	NIGP01000415	protein_coding			GO:0006468
85	AAEL024298	NIGP01000324	protein_coding			GO:0016316
86	AAEL024321	NIGP01000446	protein_coding			GO:0003677
87	AAEL024321	NIGP01000446	protein_coding			GO:0016514
88	AAEL024321	NIGP01000446	protein_coding			GO:0071565
89	AAEL024321	NIGP01000446	protein_coding			GO:0071564
90	AAEL024321	NIGP01000446	protein_coding			GO:0005515
91	AAEL024358	NIGP01000599	protein_coding	Membrane trafficking protein emp24/gp25/p24 family member [Source:UniProtKB/TrEMBL;Acc:Q1HQL7]		GO:0016021
92	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0005524
93	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0035556
94	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0004674
95	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0004672
96	AAEL024516	NIGP01000160	protein_coding		EAT36321.1	GO:0006468
97	AAEL024676	NIGP01000398	protein_coding			
98	AAEL024775	NIGP01000158	protein_coding			GO:0005737
99	AAEL024775	NIGP01000158	protein_coding			GO:0003743
100	AAEL024775	NIGP01000158	protein_coding			GO:0005852
101	AAEL024868	NIGP01000481	protein_coding			GO:0003824
102	AAEL024932	NIGP01000025	protein_coding			
103	AAEL025324	NIGP01000184	protein_coding			GO:0005319
104	AAEL025324	NIGP01000184	protein_coding			GO:0006869
105	AAEL025379	NIGP01000188	protein_coding			GO:0072659
106	AAEL025772	NIGP01000525	protein_coding		EAT42388.1	GO:0006406
107	AAEL025772	NIGP01000525	protein_coding		EAT42388.1	GO:0005515
108	AAEL025772	NIGP01000525	protein_coding		EAT42388.1	GO:0000346
109	AAEL026175	NIGP01000184	protein_coding			GO:0005319
110	AAEL026175	NIGP01000184	protein_coding			GO:0006869
111	AAEL026215	NIGP01000077	protein_coding		EJY57621.1	GO:0005524
112	AAEL026436	NIGP01000640	protein_coding			GO:0006355
113	AAEL026436	NIGP01000640	protein_coding			GO:0070897
114	AAEL026436	NIGP01000640	protein_coding			GO:0000995
115	AAEL026436	NIGP01000640	protein_coding			GO:0006383
116	AAEL026436	NIGP01000640	protein_coding			GO:0017025
117	AAEL026436	NIGP01000640	protein_coding			GO:0000126
118	AAEL026536	NIGP01000043	protein_coding			GO:0000290
119	AAEL026634	NIGP01000221	protein_coding			GO:0003676
120	AAEL026650	NIGP01000188	protein_coding			GO:0005515
121	AAEL026967	NIGP01000666	protein_coding			GO:0005861
122	AAEL026967	NIGP01000666	protein_coding			GO:0006937
