ensembl_gene_id	chromosome_name	gene_biotype	description	protein_id	go_id
1	AAEL000459	NIGP01002020	protein_coding		EAT48510.1	GO:0016021
2	AAEL000459	NIGP01002020	protein_coding		EAT48510.1	GO:0015165
3	AAEL000459	NIGP01002020	protein_coding		EAT48510.1	GO:0000139
4	AAEL000459	NIGP01002020	protein_coding		EAT48510.1	GO:0090481
5	AAEL000502	NIGP01000819	protein_coding	NADPH FAD oxidoreductase [Source:VB Community Annotation]		GO:0016491
6	AAEL000502	NIGP01000819	protein_coding	NADPH FAD oxidoreductase [Source:VB Community Annotation]		GO:0055114
7	AAEL001289	NIGP01001447	protein_coding	permease, putative [Source:VB Community Annotation]	EAT47571.1	GO:0016021
8	AAEL001289	NIGP01001447	protein_coding	permease, putative [Source:VB Community Annotation]	EAT47571.1	GO:0005215
9	AAEL001289	NIGP01001447	protein_coding	permease, putative [Source:VB Community Annotation]	EAT47571.1	GO:0055085
10	AAEL001289	NIGP01001447	protein_coding	permease, putative [Source:VB Community Annotation]	EAT47571.1	GO:0022857
11	AAEL002815	NIGP01001630	protein_coding		EAT45951.1	
12	AAEL003188	NIGP01001712	protein_coding	sphingosine phosphate lyase [Source:VB Community Annotation]		GO:0003824
13	AAEL003188	NIGP01001712	protein_coding	sphingosine phosphate lyase [Source:VB Community Annotation]		GO:0030170
14	AAEL003188	NIGP01001712	protein_coding	sphingosine phosphate lyase [Source:VB Community Annotation]		GO:0019752
15	AAEL003188	NIGP01001712	protein_coding	sphingosine phosphate lyase [Source:VB Community Annotation]		GO:0016831
16	AAEL003192	NIGP01000133	protein_coding	mfs transporter [Source:VB Community Annotation]	EAT45535.1	GO:0016021
17	AAEL003192	NIGP01000133	protein_coding	mfs transporter [Source:VB Community Annotation]	EAT45535.1	GO:0055085
18	AAEL003192	NIGP01000133	protein_coding	mfs transporter [Source:VB Community Annotation]	EAT45535.1	GO:0022857
19	AAEL003202	NIGP01001976	protein_coding	cyclohex-1-ene-1-carboxyl-CoA hydratase, putative [Source:VB Community Annotation]		GO:0003824
20	AAEL003541	NIGP01000309	protein_coding	galectin [Source:VB Community Annotation]		GO:0030246
21	AAEL004489	NIGP01000295	protein_coding	Daxx-like protein [Source:VB Community Annotation]		
22	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0003735
23	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0006412
24	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0005840
25	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT48397.1	GO:0005622
26	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0003735
27	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0006412
28	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0005840
29	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EAT44098.1	GO:0005622
30	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0003735
31	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0006412
32	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0005840
33	AAEL004503	NIGP01000295	protein_coding	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q1HR25]	EJY57537.1	GO:0005622
34	AAEL004793	NIGP01001877	protein_coding	dipeptidyl-peptidase [Source:VB Community Annotation]		GO:0006508
35	AAEL004793	NIGP01001877	protein_coding	dipeptidyl-peptidase [Source:VB Community Annotation]		GO:0008236
36	AAEL005245	NIGP01000944	protein_coding	DNA repair protein rad50 [Source:VB Community Annotation]		GO:0005634
37	AAEL005245	NIGP01000944	protein_coding	DNA repair protein rad50 [Source:VB Community Annotation]		GO:0006281
38	AAEL005245	NIGP01000944	protein_coding	DNA repair protein rad50 [Source:VB Community Annotation]		GO:0016887
39	AAEL005245	NIGP01000944	protein_coding	DNA repair protein rad50 [Source:VB Community Annotation]		GO:0030870
40	AAEL005245	NIGP01000944	protein_coding	DNA repair protein rad50 [Source:VB Community Annotation]		GO:0000723
41	AAEL005254	1	protein_coding	dynactin P62 subunit [Source:VB Community Annotation]	EAT43296.1	GO:0005869
42	AAEL005261	1	protein_coding			
43	AAEL005266	1	protein_coding	40S ribosomal protein S14 [Source:UniProtKB/Swiss-Prot;Acc:Q1HR24]	EAT43298.1	GO:0003735
44	AAEL005266	1	protein_coding	40S ribosomal protein S14 [Source:UniProtKB/Swiss-Prot;Acc:Q1HR24]	EAT43298.1	GO:0006412
45	AAEL005266	1	protein_coding	40S ribosomal protein S14 [Source:UniProtKB/Swiss-Prot;Acc:Q1HR24]	EAT43298.1	GO:0005840
46	AAEL005266	1	protein_coding	40S ribosomal protein S14 [Source:UniProtKB/Swiss-Prot;Acc:Q1HR24]	EAT43299.1	GO:0003735
47	AAEL005266	1	protein_coding	40S ribosomal protein S14 [Source:UniProtKB/Swiss-Prot;Acc:Q1HR24]	EAT43299.1	GO:0006412
48	AAEL005266	1	protein_coding	40S ribosomal protein S14 [Source:UniProtKB/Swiss-Prot;Acc:Q1HR24]	EAT43299.1	GO:0005840
49	AAEL005271	1	protein_coding			GO:0017137
50	AAEL005279	1	protein_coding	methionyl-tRNA formyltransferase [Source:VB Community Annotation]	EAT43302.1	GO:0003824
51	AAEL005279	1	protein_coding	methionyl-tRNA formyltransferase [Source:VB Community Annotation]	EAT43302.1	GO:0009058
52	AAEL005279	1	protein_coding	methionyl-tRNA formyltransferase [Source:VB Community Annotation]	EAT43302.1	GO:0016742
53	AAEL005279	1	protein_coding	methionyl-tRNA formyltransferase [Source:VB Community Annotation]	EAT43302.1	GO:0004479
54	AAEL005279	1	protein_coding	methionyl-tRNA formyltransferase [Source:VB Community Annotation]	EAT43302.1	GO:0071951
55	AAEL005281	1	protein_coding		EAT43301.1	GO:0005639
56	AAEL005281	1	protein_coding			GO:0005639
57	AAEL005525	NIGP01002221	protein_coding			GO:0005515
58	AAEL005821	NIGP01002224	protein_coding	alanyl aminopeptidase [Source:VB Community Annotation]		GO:0008270
59	AAEL005821	NIGP01002224	protein_coding	alanyl aminopeptidase [Source:VB Community Annotation]		GO:0006508
60	AAEL005821	NIGP01002224	protein_coding	alanyl aminopeptidase [Source:VB Community Annotation]		GO:0004177
61	AAEL005821	NIGP01002224	protein_coding	alanyl aminopeptidase [Source:VB Community Annotation]		GO:0008237
62	AAEL005866	NIGP01002023	protein_coding	succinate dehydrogenase assembly factor 2, mitochondrial precursor (SDH assembly factor 2) [Source:VB Community Annotation]		GO:0018293
63	AAEL005866	NIGP01002023	protein_coding	succinate dehydrogenase assembly factor 2, mitochondrial precursor (SDH assembly factor 2) [Source:VB Community Annotation]		GO:0005739
64	AAEL005866	NIGP01002023	protein_coding	succinate dehydrogenase assembly factor 2, mitochondrial precursor (SDH assembly factor 2) [Source:VB Community Annotation]		GO:0005759
65	AAEL005866	NIGP01002023	protein_coding	succinate dehydrogenase assembly factor 2, mitochondrial precursor (SDH assembly factor 2) [Source:VB Community Annotation]		GO:0006121
