ensembl_gene_id	chromosome_name	gene_biotype	description	protein_id	go_id
1	AAEL000219	1	protein_coding	lactoylglutathione lyase [Source:VB Community Annotation]	EAT48747.1	
2	AAEL000223	1	protein_coding	alpha-glucosidase [Source:VB Community Annotation]	EAT48754.1	GO:0005975
3	AAEL000223	1	protein_coding	alpha-glucosidase [Source:VB Community Annotation]	EAT48754.1	GO:0004553
4	AAEL000230	1	protein_coding		EAT48757.1	GO:0016021
5	AAEL000231	1	protein_coding	oligopeptidase [Source:VB Community Annotation]	EAT48748.1	GO:0006508
6	AAEL000231	1	protein_coding	oligopeptidase [Source:VB Community Annotation]	EAT48748.1	GO:0046872
7	AAEL000231	1	protein_coding	oligopeptidase [Source:VB Community Annotation]	EAT48748.1	GO:0004222
8	AAEL000239	1	protein_coding	clathrin coat assembly protein [Source:VB Community Annotation]		GO:0030100
9	AAEL000239	1	protein_coding	clathrin coat assembly protein [Source:VB Community Annotation]		GO:0006897
10	AAEL000239	1	protein_coding	clathrin coat assembly protein [Source:VB Community Annotation]		GO:0036465
11	AAEL000241	1	protein_coding		EAT48753.1	
12	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0016020
13	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0006811
14	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0006813
15	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0005216
16	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0055085
17	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0051260
18	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0005249
19	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0008076
20	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0005515
21	AAEL000242	1	protein_coding	voltage-gated potassium channel [Source:VB Community Annotation]		GO:0034765
22	AAEL000243	1	protein_coding	leucine-rich transmembrane protein [Source:VB Community Annotation]		GO:0005515
23	AAEL000244	1	protein_coding	alpha(1,3)fucosyltransferase [Source:VB Community Annotation]	EAT48746.1	GO:0016020
24	AAEL000244	1	protein_coding	alpha(1,3)fucosyltransferase [Source:VB Community Annotation]	EAT48746.1	GO:0016021
25	AAEL000244	1	protein_coding	alpha(1,3)fucosyltransferase [Source:VB Community Annotation]	EAT48746.1	GO:0008417
26	AAEL000244	1	protein_coding	alpha(1,3)fucosyltransferase [Source:VB Community Annotation]	EAT48746.1	GO:0006486
27	AAEL000244	1	protein_coding	alpha(1,3)fucosyltransferase [Source:VB Community Annotation]	EAT48746.1	GO:0032580
28	AAEL000249	1	protein_coding	mitochondrial carrier protein [Source:VB Community Annotation]	EAT48750.1	GO:0016021
29	AAEL000249	1	protein_coding	mitochondrial carrier protein [Source:VB Community Annotation]	EAT48750.1	GO:0055085
30	AAEL000249	1	protein_coding	mitochondrial carrier protein [Source:VB Community Annotation]	EAT48750.1	GO:0022857
31	AAEL000249	1	protein_coding	mitochondrial carrier protein [Source:VB Community Annotation]		GO:0055085
32	AAEL000249	1	protein_coding	mitochondrial carrier protein [Source:VB Community Annotation]		GO:0022857
33	AAEL000251	1	protein_coding		EAT48745.1	
34	AAEL000252	1	protein_coding		EAT48740.1	GO:0006508
35	AAEL000252	1	protein_coding		EAT48740.1	GO:0004252
36	AAEL000254	1	protein_coding	nuclear factor i [Source:VB Community Annotation]		GO:0006355
37	AAEL000254	1	protein_coding	nuclear factor i [Source:VB Community Annotation]		GO:0005634
38	AAEL000254	1	protein_coding	nuclear factor i [Source:VB Community Annotation]		GO:0003700
39	AAEL000254	1	protein_coding	nuclear factor i [Source:VB Community Annotation]		GO:0005622
40	AAEL000459	NIGP01002020	protein_coding		EAT48510.1	GO:0016021
41	AAEL000459	NIGP01002020	protein_coding		EAT48510.1	GO:0015165
42	AAEL000459	NIGP01002020	protein_coding		EAT48510.1	GO:0000139
43	AAEL000459	NIGP01002020	protein_coding		EAT48510.1	GO:0090481
